t(s),Total solute volume 1,Total retention volume 1
1251.191593370779,1.3451495273086998e+16,9.239157379703134e+18
1313.851173039318,1.3473026621569882e+16,9.692502385857432e+18
1379.6437316912838,1.3495653231573576e+16,1.0167618168740778e+19
1448.725918275848,1.3519431876507138e+16,1.0665503736792738e+19
1521.2622141896404,1.3544422355783184e+16,1.1187199236268452e+19
1597.4253248991224,1.3570687664150516e+16,1.173378716098376e+19
1677.3965911440787,1.3598294171033374e+16,1.2306393544293212e+19
1761.3664207012828,1.3627311810490338e+16,1.2906189125685035e+19
1849.534741736347,1.3657814282439998e+16,1.3534390483501275e+19
1942.1114788231646,1.36898792658352e+16,1.4192261124343654e+19
2039.3170527643229,1.3723588644502586e+16,1.4881112518713606e+19
2141.382905402539,1.3759028746399196e+16,1.5602305071348793e+19
2248.552050672666,1.379629059707268e+16,1.6357249013563544e+19
2361.0796532062996,1.3835470188144208e+16,1.714740520367502e+19
2479.233635866615,1.387666876166466e+16,1.797428582030052e+19
2603.295317659946,1.3919993111223372e+16,1.883945493195087e+19
2733.560083542943,1.3965555900711202e+16,1.974452892492049e+19
2870.3380877200907,1.4013476001659756e+16,2.0691176769994908e+19
3013.9549921060952,1.4063878850087146e+16,2.168112010697063e+19
3164.7527417114,1.4116896823783338e+16,2.2716133124419105e+19
3323.0903787969705,1.4172669640955274e+16,2.37980422105431e+19
3489.3448977368193,1.423134478112616e+16,2.492872534938631e+19
3663.9121426236607,1.429307792913636e+16,2.6110111235088945e+19
3847.207749754844,1.4358033443024956e+16,2.7344178075360965e+19
4039.6681372425865,1.442638484647196e+16,2.86329520539002e+19
4241.751544104716,1.4498315346350378e+16,2.997850542016047e+19
4453.9391213099525,1.457401837576239e+16,3.1382954173709636e+19
4676.73607737545,1.4653698162712678e+16,3.2848455309479473e+19
4910.6728812442225,1.4737570324291218e+16,3.4377203589540483e+19
5156.306525306434,1.4825862485889356e+16,3.5971427806728462e+19
5414.221851571756,1.4918814924546376e+16,3.76333865055696e+19
5685.032944150344,1.50166812350046e+16,3.936536312660379e+19
5969.384591357861,1.5119729016428034e+16,4.1169660541489545e+19
6267.953820925754,1.5228240576998016e+16,4.304859494830663e+19
6581.451511972043,1.5342513652723568e+16,4.500448909938961e+19
6910.624087570645,1.5462862135783304e+16,4.7039664837958476e+19
7256.255291949178,1.5589616806531416e+16,4.915643492492517e+19
7619.168056546638,1.572312606194699e+16,5.135709414370558e+19
8000.22645937397,1.5863756631770572e+16,5.3643909678826275e+19
8400.337782342669,1.6011894271857002e+16,5.601911077376527e+19
8820.454671459804,1.6167944422379332e+16,5.848487768497563e+19
9261.577405032795,1.6332332816466268e+16,6.104332996258862e+19
9724.756275284435,1.6505506022669922e+16,6.369651410402572e+19
10211.094089048658,1.6687931902389806e+16,6.644639064480322e+19
10721.748793501092,1.6880099961091402e+16,6.929482077127657e+19
11257.936233176148,1.7082521569939954e+16,7.224355256298055e+19
11820.933044834956,1.7295730032442988e+16,7.52942069975408e+19
12412.079697076704,1.7520280468996104e+16,7.844826387871844e+19
13032.78368193054,1.7756749491024704e+16,8.170704787775994e+19
13684.522866027066,1.800573463588523e+16,8.50717149094362e+19
14368.84900932842,1.826785353402415e+16,8.854323909640844e+19
15087.391459794842,1.854374278124844e+16,9.212240060805669e+19
15841.861032784585,1.8834056491472828e+16,9.580977469167529e+19
16634.054084423817,1.913946450901296e+16,9.960572224372426e+19
17465.856788645007,1.946065026188267e+16,1.0351038229543946e+20
18339.249628077258,1.979830826046787e+16,1.0752366680715277e+20
19256.31210948112,2.0153141200711644e+16,1.1164525818308103e+20
20219.227714955177,2.0525856723205836e+16,1.1587460992036825e+20
21230.289100702936,2.091716379934707e+16,1.2021095080345957e+20
22291.903555738085,2.1327768771103164e+16,1.2465329303666834e+20
23406.59873352499,2.1758371056616104e+16,1.2920044467618557e+20
24577.028670201238,2.2209658536263444e+16,1.3385102667576282e+20
25805.980103711303,2.268230263223426e+16,1.3860349479705274e+20
27096.37910889687,2.317695309246126e+16,1.43456166555624e+20
28451.298064341714,2.3694232488940276e+16,1.4840725327696465e+20
29873.9629675588,2.4234730443921036e+16,1.5345489722371562e+20
31367.76111593674,2.479899760850977e+16,1.5859721362655973e+20
32936.24917173358,2.5387539440112124e+16,1.6383233730766327e+20
34583.16163032026,2.6000809860165348e+16,1.6915847342866897e+20
36312.41971183628,2.6639204922278668e+16,1.7457395172700688e+20
38128.1406974281,2.7303056681235612e+16,1.8007728342779147e+20
40034.647732299505,2.7992627520533416e+16,1.8566721983827775e+20
42036.48011891448,2.8708105262883092e+16,1.9134281145439692e+20
44138.4041248602,2.9449599445256184e+16,1.9710346624307983e+20
46345.42433110321,3.021713917801262e+16,2.0294900562118725e+20
48662.795547658374,3.10106730176067e+16,2.0887971654511798e+20
51096.035325041295,3.1830071257691856e+16,2.1489639806884528e+20
53650.93709129336,3.267513098043087e+16,2.210004007363501e+20
56333.58394585803,3.35455841080935e+16,2.2719365725948146e+20
59150.363143150935,3.444110855756715e+16,2.334787031030138e+20
62107.981300308486,3.5361342433312136e+16,2.3985868585882757e+20
65213.480365323914,3.630590100654225e+16,2.4633736263818022e+20
68474.25438359012,3.72743960316556e+16,2.5291908513520117e+20
71898.06710276962,3.826645675919914e+16,2.5960877249884026e+20
75493.0704579081,3.928175183383091e+16,2.6641187267036214e+20
79267.82398080351,4.032001113266119e+16,2.733343133689312e+20
83231.31517984369,4.1381046520256216e+16,2.8038244440473413e+20
87392.98093883587,4.246477048518222e+16,2.8756297343180987e+20
91762.72998577767,4.357121168821933e+16,2.948828975871962e+20
96350.96648506656,4.470052659647221e+16,3.023494336701535e+20
101168.61480931989,4.585300659456347e+16,3.099699495741993e+20
106227.14554978588,4.702908023935675e+16,3.177518995856803e+20
111538.60282727519,4.822931063598852e+16,3.257027659085129e+20
117115.63296863895,4.9454388232637544e+16,3.3383000838186146e+20
122971.5146170709,5.070511962935467e+16,3.421410238544452e+20
129120.19034792445,5.198241324376244e+16,3.5064311610441033e+20
135576.29986532067,5.328726285001368e+16,3.593434765920085e+20
142355.21485858673,5.462073009179783e+16,3.6824917575014783e+20
149473.07560151606,5.59839270602625e+16,3.7736716399852526e+20
156946.82938159187,5.737799992896268e+16,3.867042812464737e+20
164794.27085067148,5.8804114465423864e+16,3.9626727335276544e+20
173034.08439320506,6.0263444014915336e+16,4.060628138491842e+20
181685.88861286532,6.17571603029492e+16,4.160975292073278e+20
190770.2830435086,6.328642715565557e+16,4.263780260206825e+20
200308.89719568403,6.485239701545415e+16,4.3691091866321564e+20
210324.44205546824,6.6456209951654824e+16,4.477028562416294e+20
220840.76415824165,6.8098994742817096e+16,4.5876054794934105e+20
231882.90236615375,6.978187154318225e+16,4.7009078622572924e+20
243477.14748446146,7.150595563546933e+16,4.817004673988272e+20
255651.10485868453,7.327236180746715e+16,4.9359660972464164e+20
268433.76010161877,7.508220895740318e+16,5.057863689204315e+20
281855.5481066997,7.693662461911456e+16,5.182770514191423e+20
295948.42551203474,7.883674918950598e+16,5.3107612565013876e+20
310745.9467876365,8.078373972698512e+16,5.441912316847809e+20
326283.34412701835,8.27787732630772e+16,5.5763018958385526e+20
342597.6113333693,8.482304962619397e+16,5.714010067580625e+20
359727.5919000378,8.691779381568637e+16,5.85511884612608e+20
377714.0714950397,8.906425798721429e+16,5.999712247006817e+20
396599.8750697917,9.126372342214982e+16,6.14787634362553e+20
416429.9688232813,9.351750118816669e+16,6.299699327754144e+20
437251.56726444536,9.582693331114931e+16,6.45527156731893e+20
459114.24562766764,9.819339553678965e+16,6.614685654865711e+20
482070.057909051,1.0061829686191374e+17,6.778036467467569e+20
506173.6608045036,1.0310308076964592e+17,6.945421224250792e+20
531482.4438447288,1.0564922623861928e+17,7.116939544693167e+20
558056.6660369652,1.0825824869252642e+17,7.292693508124583e+20
585959.5993388135,1.1093170093681918e+17,7.472787714588988e+20
615257.6793057541,1.1367117410103427e+17,7.657329347155076e+20
646020.6632710418,1.1647829859545422e+17,7.84642823573743e+20
678321.796434594,1.1935474508668882e+17,8.040196922478842e+20
712237.9862563238,1.2230222549482619e+17,8.238750728738991e+20
747849.98556914,1.253224940138451e+17,8.442207823732918e+20
785242.5848475969,1.284173481564804e+17,8.650689294862372e+20
824504.8140899768,1.3158862982448507e+17,8.864319219782218e+20
865730.1547944758,1.3483822640509682e+17,9.08322474024636e+20
909016.7625341996,1.3816807189446088e+17,9.30753613777626e+20
954467.7006609096,1.4158014804872565e+17,9.537386911198383e+20
1002191.1856939552,1.450764855635271e+17,9.772913856096094e+20
1052300.844978653,1.4865916528258144e+17,1.0014257146223452e+21
1104915.9872275856,1.5233031943611334e+17,1.026156041692973e+21
1160161.886588965,1.5609213290985558e+17,1.0514970850643843e+21
1218170.0809184134,1.599468445453902e+17,1.0774639264470065e+21
1279078.6849643341,1.6389674847259562e+17,1.104072019994658e+21
1343032.719212551,1.679441954749946e+17,1.1313372015020944e+21
1410184.4551731786,1.720915943888308e+17,1.1592756978296745e+21
1480693.7779318376,1.763414135366769e+17,1.1879041365607574e+21
1554728.5668284295,1.806961821964645e+17,1.2172395558976141e+21
1632465.095169851,1.851584921067777e+17,1.2472994148017e+21
1714088.4499283438,1.897309990093271e+17,1.278101603384355e+21
1799792.972424761,1.9441642422951354e+17,1.3096644535540735e+21
1889782.721045999,1.9921755629602115e+17,1.342006749926765e+21
1984271.9570982992,2.0413725260041443e+17,1.3751477410053848e+21
2083485.654953214,2.091784410977065e+17,1.409107150635673e+21
2187660.0377008747,2.1434412204893558e+17,1.443905189744799e+21
2297043.1395859187,2.1963736980676646e+17,1.4795625683698972e+21
2411895.3965652147,2.2506133464519203e+17,1.5161005079836046e+21
2532490.2663934757,2.3061924463441434e+17,1.5535407541240476e+21
2659114.8797131497,2.3631440756203258e+17,1.5919055893366623e+21
2792070.7236988074,2.4215021290166803e+17,1.6312178464356392e+21
2931674.359883748,2.4813013383021066e+17,1.671500922092893e+21
3078258.1778779356,2.5425772929487808e+17,1.7127787907625478e+21
3232171.1867718324,2.605366461313191e+17,1.7550760189493508e+21
3393779.846110424,2.669706212340288e+17,1.79841777982937e+21
3563468.9384159455,2.7356348378035792e+17,1.8428298682318672e+21
3741642.485336743,2.8031915750945024e+17,1.8883387159910275e+21
3928724.70960358,2.872416630574466e+17,1.9349714076768448e+21
4125161.0450837594,2.943351203503696e+17,1.982755696714556e+21
4331419.197337948,3.016037510560988e+17,2.0317200219020124e+21
4547990.257204846,3.0905188109688723e+17,2.081893524335036e+21
4775389.870065088,3.166839432239338e+17,2.1333060647507457e+21
5014159.463568343,3.2450447965553914e+17,2.1859882412991623e+21
5264867.53674676,3.3251814478039706e+17,2.2399714077536517e+21
5528111.013584098,3.40729707927657e+17,2.295287692171143e+21
5804516.664263302,3.4914405620538515e+17,2.351970016013108e+21
6094742.5974764675,3.577661974091265e+17,2.410052113738769e+21
6399479.827350291,3.6660126300013434e+17,2.4695685528822864e+21
6689705.760563456,3.749103975879555e+17,2.5249976834529286e+21
6994442.99043728,3.834347332060539e+17,2.5819042925888835e+21
7314417.081804795,3.921661818223339e+17,2.640324011764431e+21
7650389.877740686,4.01108597795704e+17,2.7002949518721936e+21
8003161.313473371,4.102712117459282e+17,2.761856296785101e+21
8373571.3209926905,4.19664641329151e+17,2.825047631061762e+21
8762501.828887977,4.293043478155761e+17,2.8899085204094e+21
9170878.862178026,4.393195942195393e+17,2.956471526896255e+21
9599674.747132577,4.518446144096008e+17,3.024617152635263e+21
10008051.780422626,4.7671265232195757e+17,3.0870127368011147e+21
10396982.288317911,5.237617478758735e+17,3.141917759938769e+21
10767392.295837231,5.912089129053165e+17,3.187260162069106e+21
11156322.803732516,6.755203310942043e+17,3.22462203848122e+21
11564699.837022565,7.601623387127764e+17,3.2520936299940686e+21
11993495.721977118,8.293648658498822e+17,3.270236202160402e+21
12443731.401179397,8.772304619431827e+17,3.281213038175355e+21
12916478.864341792,9.065364749087052e+17,3.2874294667833466e+21
13412863.700662306,9.230248958087578e+17,3.290779728203237e+21
13934067.778798845,9.31768389331353e+17,3.2925163271782903e+21
14481332.06084221,9.36205101627657e+17,3.2933873358137343e+21
15055959.556987746,9.383774576297379e+17,3.2938113555547124e+21
15659318.427940557,9.39408160279003e+17,3.294011978466381e+21
16292845.242441008,9.398829517115603e+17,3.29410427465083e+21
16958048.397666484,9.398829517115603e+17,3.29410427465083e+21
17656511.71065323,9.398829517115603e+17,3.29410427465083e+21
18389898.189289317,9.398829517115603e+17,3.29410427465083e+21
19159953.99185721,9.398829517115603e+17,3.29410427465083e+21
19968512.58455349,9.398829517115603e+17,3.29410427465083e+21
20817499.10688459,9.398829517115603e+17,3.29410427465083e+21
21708934.955332246,9.398829517115603e+17,3.29410427465083e+21
22644942.596202284,9.398829517115603e+17,3.29410427465083e+21
23627750.619115822,9.398829517115603e+17,3.29410427465083e+21
24659699.043175038,9.398829517115603e+17,3.29410427465083e+21
25743244.888437215,9.398829517115603e+17,3.29410427465083e+21
26880968.0259625,9.398829517115603e+17,3.29410427465083e+21
28075577.32036405,9.398829517115603e+17,3.29410427465083e+21
29329917.079485677,9.398829517115603e+17,3.29410427465083e+21
30646973.826563384,9.398829517115603e+17,3.29410427465083e+21
31557600.0,9.398829517115603e+17,3.29410427465083e+21
