t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
15.580072641864053,369.9999999999995,-5.3869584384329695e+19,-2.4373630248997654e-214,1573818418228858.0,1.6226302753219633e+19,1615087752042875.5,4.965555130339597e+18,3.7692476601598705e+18,2.998268610750831e+18,3.3259573672583603e+18,1.1640850785407089e+18
16.775165210486364,369.9999999999995,-5.3889593652963475e+19,-5.047608919358104e-214,1635218088974255.2,1.684070528446687e+19,1675605729491556.5,5.151648963914383e+18,3.910512918802661e+18,3.110638839476898e+18,3.4552546210771604e+18,1.2093391173773015e+18
17.99415963048112,369.9999999999995,-5.390838432241895e+19,-1.0278628013264296e-213,1696923934350103.0,1.744448555993085e+19,1734952201795292.2,5.334952180935889e+18,4.0496709070788746e+18,3.221332845189552e+18,3.5815538893259817e+18,1.2535438612644022e+18
19.237533938875774,369.9999999999995,-5.392480638975456e+19,-1.733750671151942e-213,1754819467181362.8,1.8039918424684861e+19,1793028768609988.5,5.515830829275387e+18,4.186999491544484e+18,3.330571658261731e+18,3.7059026647164017e+18,1.2970659326510625e+18
20.50577573343832,369.9999999999995,-5.394007043977082e+19,-2.3159111618822475e-213,1812844380741291.0,1.862789752017149e+19,1850834133118344.2,5.693937988445046e+18,4.322205367592935e+18,3.438121922781276e+18,3.829606342842997e+18,1.3403622199953846e+18
21.799382363892114,369.9999999999995,-5.395485166618692e+19,-2.5274454154529613e-213,1872476173922028.2,1.9208511480616567e+19,1908044981409977.0,5.870069750244531e+18,4.455914994927657e+18,3.5444819930616586e+18,3.9513068305385487e+18,1.3829573906888392e+18
23.118861126954986,369.9999999999995,-5.396806400161552e+19,-2.9045844264139046e-213,1928981068539847.5,1.9783300974204334e+19,1964073752731437.5,6.044780066863545e+18,4.5885654493388114e+18,3.649999568339531e+18,4.0711576554376387e+18,1.4249051794035343e+18
24.464729465279117,369.9999999999995,-5.398015102203722e+19,-4.283411312985232e-213,1984250301643613.2,2.0353315625533936e+19,2019864334857879.5,6.217570524774365e+18,4.719743901816805e+18,3.7543462094489155e+18,4.1908524998940483e+18,1.4667983749632924e+18
25.83751517036973,369.9999999999995,-5.399209508165533e+19,-6.510195584183606e-213,2042013814807331.5,2.0918331080976105e+19,2075658233471064.0,6.388780198190853e+18,4.849711338177946e+18,3.857729524548697e+18,4.309623961488862e+18,1.5083683865214886e+18
27.237756589562157,369.9999999999995,-5.400319017214227e+19,-9.939678087558729e-213,2098354109395135.5,2.147910840898004e+19,2130485702822711.0,6.559216834828627e+18,4.979115449741383e+18,3.9606647753256177e+18,4.426579636497626e+18,1.549302872774569e+18
28.66600283713843,369.9999999999995,-5.4013145291246535e+19,-1.4538019712650756e-212,2151913629443008.0,2.20368804993187e+19,2184781037972496.8,6.728531775358615e+18,5.107668307400012e+18,4.062922891760656e+18,4.543274688986351e+18,1.5901461411456366e+18
30.12281400966623,369.9999999999995,-5.402291009879763e+19,-2.1863704301107368e-212,2207438728334383.5,2.259158032320437e+19,2239463945165427.0,6.896511594665486e+18,5.235183901053857e+18,4.16435587498346e+18,4.660060777650101e+18,1.6310212721779633e+18
31.608761405644582,369.9999999999995,-5.403243009001198e+19,-3.4375472338408993e-212,2263993284111718.0,2.3143225892031295e+19,2293734249576550.0,7.063979793422585e+18,5.362324274106947e+18,4.265490406872876e+18,4.77546199266278e+18,1.6714116974324122e+18
33.124427749542505,369.9999999999995,-5.404099860345297e+19,-6.842429324440465e-212,2317389194282206.5,2.3692915489031172e+19,2347131540039982.0,7.231057070688335e+18,5.489187804365571e+18,4.3664047526356193e+18,4.890075067116202e+18,1.7115262734911245e+18
34.670407420318384,369.9999999999995,-5.404910312645172e+19,-1.3707342583075831e-211,2370675646010910.0,2.4241067732542595e+19,2400801223768571.5,7.397162139139589e+18,5.615291373962514e+18,4.466714550297381e+18,5.005280142424346e+18,1.751848049848989e+18
36.24730668450978,369.9999999999995,-5.405726219988958e+19,-2.5097471441372337e-211,2426707748183320.0,2.4787315413572747e+19,2454793061441222.0,7.56271773807571e+18,5.740968157567476e+18,4.56668484418902e+18,5.120046794763279e+18,1.7920163781676262e+18
37.855743933985,369.9999999999995,-5.40648904856819e+19,-4.198056701189314e-211,2481220288229155.0,2.533221699525623e+19,2507968152198807.0,7.728359474029072e+18,5.866739102289841e+18,4.666730082553278e+18,5.233628998476382e+18,1.8317701494672256e+18
39.49634992844973,369.9999999999995,-5.407184232321538e+19,-7.889301018728168e-211,2533346523042256.5,2.5876610074817077e+19,2560855296236886.0,7.893603406498316e+18,5.992206674518782e+18,4.766533999367257e+18,5.347534661194767e+18,1.8716371314186762e+18
41.16976804280376,369.9999999999995,-5.407877612871537e+19,-1.0963619765060053e-210,2587764055081921.0,2.642028667004429e+19,2614475460489965.5,8.058240892906114e+18,6.117185527078155e+18,4.865949118620526e+18,5.462006586609933e+18,1.9117023053139948e+18
42.87665451944486,369.9999999999995,-5.408561688404978e+19,-1.4455606224351546e-210,2643435684341409.5,2.696315932246922e+19,2667909404180704.5,8.223047656636527e+18,6.24230794510942e+18,4.965478460718562e+18,5.575565862900487e+18,1.9514480520157036e+18
44.61767872561879,369.9999999999995,-5.409183926356051e+19,-1.6779687774677493e-210,2696151641643842.5,2.7506055132405236e+19,2720550566246643.0,8.38807236448458e+18,6.367620089471709e+18,5.065158758285932e+18,5.688731272558952e+18,1.9910559453961797e+18
