t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
292505.25780502154,294.9999999999073,-25886044296131.055,-16257911276.90678,1.1943563951543941e+19,2.7579444114396336e+19,1.5635880162852616e+19,0.0,0.0,0.0,0.0,0.0
292555.25780502154,294.9999999999073,-25856548982552.05,-16257984815.097672,1.1942201255084814e+19,2.757815047401438e+19,1.5635949218929584e+19,0.0,0.0,0.0,0.0,0.0
292605.25780502154,294.9999999999073,-25827163937231.168,-16258058327.825272,1.1940840018445007e+19,2.7576858302881124e+19,1.5636018284436187e+19,0.0,0.0,0.0,0.0,0.0
292655.25780502154,294.9999999999073,-25797888362495.8,-16258131815.126497,1.1939480236181225e+19,2.7575567595523473e+19,1.5636087359342103e+19,0.0,0.0,0.0,0.0,0.0
292705.25780502154,294.9999999999073,-25768721469696.195,-16258205277.038198,1.1938121902890494e+19,2.7574278346506314e+19,1.5636156443615515e+19,0.0,0.0,0.0,0.0,0.0
292755.25780502154,294.9999999999073,-25739662479063.19,-16258278713.59714,1.1936765013208179e+19,2.757299055043485e+19,1.5636225537227254e+19,0.0,0.0,0.0,0.0,0.0
292805.25780502154,294.9999999999073,-25710710619569.06,-16258352124.840036,1.1935409561807802e+19,2.757170420195404e+19,1.563629464014566e+19,0.0,0.0,0.0,0.0,0.0
292855.25780502154,294.9999999999073,-25681865128790.953,-16258425510.803509,1.193405554340175e+19,2.757041929574303e+19,1.563636375234106e+19,0.0,0.0,0.0,0.0,0.0
292905.25780502154,294.9999999999073,-25653125252777.332,-16258498871.524115,1.1932702952739428e+19,2.7569135826522817e+19,1.5636432873783345e+19,0.0,0.0,0.0,0.0,0.0
292955.25780502154,294.9999999999073,-25624490245916.88,-16258572207.038324,1.1931351784607652e+19,2.7567853789049442e+19,1.5636502004442034e+19,0.0,0.0,0.0,0.0,0.0
293005.25780502154,294.9999999999073,-25595959370810.17,-16258645517.38257,1.193000203382904e+19,2.7566573178116383e+19,1.5636571144287177e+19,0.0,0.0,0.0,0.0,0.0
293055.25780502154,294.9999999999073,-25567531898143.9,-16258718802.59317,1.1928653695264459e+19,2.756529398855275e+19,1.5636640293288866e+19,0.0,0.0,0.0,0.0,0.0
293105.25780502154,294.9999999999073,-25539207106567.434,-16258792062.706394,1.1927306763808676e+19,2.756401621522641e+19,1.5636709451417444e+19,0.0,0.0,0.0,0.0,0.0
293155.25780502154,294.9999999999073,-25510984282572.098,-16258865297.758442,1.192596123439355e+19,2.756273985303655e+19,1.5636778618642977e+19,0.0,0.0,0.0,0.0,0.0
293205.25780502154,294.9999999999073,-25482862720372.547,-16258938507.785433,1.1924617101985542e+19,2.75614648969216e+19,1.563684779493643e+19,0.0,0.0,0.0,0.0,0.0
