"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6272e+21,1,0.00036,0.00036,0,0
4.6269e+21,1,0.000362,0.000362,0,0
4.6266e+21,1,0.000364,0.000364,0,0
4.6263e+21,1,0.000366,0.000366,0,0
4.6261e+21,1,0.000368,0.000368,0,0
4.6258e+21,1,0.00037,0.00037,0,0
4.6255e+21,1,0.000372,0.000372,0,0
4.6253e+21,1,0.000374,0.000374,0,0
4.625e+21,1,0.000376,0.000376,0,0
4.6247e+21,1,0.000378,0.000378,0,0
4.6245e+21,1,0.00038,0.00038,0,0
4.6242e+21,1,0.000382,0.000382,0,0
4.624e+21,1,0.000384,0.000384,0,0
4.6237e+21,1,0.000386,0.000386,0,0
4.6234e+21,1,0.000388,0.000388,0,0
4.6232e+21,1,0.00039,0.00039,0,0
4.6229e+21,1,0.000392,0.000392,0,0
4.6226e+21,1,0.000394,0.000394,0,0
4.6224e+21,1,0.000396,0.000396,0,0
4.6221e+21,1,0.000398,0.000398,0,0
4.6218e+21,1,0.0004,0.0004,0,0
4.6216e+21,1,0.000402,0.000402,0,0
4.6213e+21,1,0.000404,0.000404,0,0
4.621e+21,1,0.000406,0.000406,0,0
4.6208e+21,1,0.000408,0.000408,0,0
4.6205e+21,1,0.00041,0.00041,0,0
4.6202e+21,1,0.000412,0.000412,0,0
4.62e+21,1,0.000414,0.000414,0,0
4.6197e+21,1,0.000416,0.000416,0,0
4.6194e+21,1,0.000418,0.000418,0,0
4.6192e+21,1,0.00042,0.00042,0,0
4.6189e+21,1,0.000422,0.000422,0,0
4.6187e+21,1,0.000424,0.000424,0,0
4.6184e+21,1,0.000426,0.000426,0,0
4.6181e+21,1,0.000428,0.000428,0,0
4.6179e+21,1,0.00043,0.00043,0,0
4.6176e+21,1,0.000432,0.000432,0,0
4.6173e+21,1,0.000434,0.000434,0,0
4.6171e+21,1,0.000436,0.000436,0,0
4.6168e+21,1,0.000438,0.000438,0,0
4.6166e+21,1,0.00044,0.00044,0,0
4.6163e+21,1,0.000442,0.000442,0,0
4.616e+21,1,0.000444,0.000444,0,0
4.6158e+21,1,0.000446,0.000446,0,0
4.6155e+21,1,0.000448,0.000448,0,0
4.6153e+21,1,0.00045,0.00045,0,0
4.615e+21,1,0.000452,0.000452,0,0
4.6147e+21,1,0.000454,0.000454,0,0
4.6145e+21,1,0.000456,0.000456,0,0
4.6142e+21,1,0.000458,0.000458,0,0
4.614e+21,1,0.00046,0.00046,0,0
4.6137e+21,1,0.000462,0.000462,0,0
4.6134e+21,1,0.000464,0.000464,0,0
4.6132e+21,1,0.000466,0.000466,0,0
4.6129e+21,1,0.000468,0.000468,0,0
4.6127e+21,1,0.00047,0.00047,0,0
4.6124e+21,1,0.000472,0.000472,0,0
4.6121e+21,1,0.000474,0.000474,0,0
4.6119e+21,1,0.000476,0.000476,0,0
4.6116e+21,1,0.000478,0.000478,0,0
4.6114e+21,1,0.00048,0.00048,0,0
4.6111e+21,1,0.000482,0.000482,0,0
4.6108e+21,1,0.000484,0.000484,0,0
4.6106e+21,1,0.000486,0.000486,0,0
4.6103e+21,1,0.000488,0.000488,0,0
4.6101e+21,1,0.00049,0.00049,0,0
4.6098e+21,1,0.000492,0.000492,0,0
4.6096e+21,1,0.000494,0.000494,0,0
4.6093e+21,1,0.000496,0.000496,0,0
4.609e+21,1,0.000498,0.000498,0,0
4.6088e+21,1,0.0005,0.0005,0,0
4.6085e+21,1,0.000502,0.000502,0,0
4.6083e+21,1,0.000504,0.000504,0,0
4.608e+21,1,0.000506,0.000506,0,0
4.6078e+21,1,0.000508,0.000508,0,0
4.6075e+21,1,0.00051,0.00051,0,0
4.6072e+21,1,0.000512,0.000512,0,0
4.607e+21,1,0.000514,0.000514,0,0
4.6067e+21,1,0.000516,0.000516,0,0
4.6065e+21,1,0.000518,0.000518,0,0
4.6062e+21,1,0.00052,0.00052,0,0
4.606e+21,1,0.000522,0.000522,0,0
4.6057e+21,1,0.000524,0.000524,0,0
4.6055e+21,1,0.000526,0.000526,0,0
4.6052e+21,1,0.000528,0.000528,0,0
4.605e+21,1,0.00053,0.00053,0,0
4.6047e+21,1,0.000532,0.000532,0,0
4.6044e+21,1,0.000534,0.000534,0,0
4.6042e+21,1,0.000536,0.000536,0,0
4.6039e+21,1,0.000538,0.000538,0,0
4.6037e+21,1,0.00054,0.00054,0,0
4.6034e+21,1,0.000542,0.000542,0,0
4.6032e+21,1,0.000544,0.000544,0,0
4.6029e+21,1,0.000546,0.000546,0,0
4.6027e+21,1,0.000548,0.000548,0,0
4.6024e+21,1,0.00055,0.00055,0,0
4.6022e+21,1,0.000552,0.000552,0,0
4.6019e+21,1,0.000554,0.000554,0,0
4.6017e+21,1,0.000556,0.000556,0,0
4.6014e+21,1,0.000558,0.000558,0,0
4.6012e+21,1,0.00056,0.00056,0,0
4.6009e+21,1,0.000562,0.000562,0,0
4.6007e+21,1,0.000564,0.000564,0,0
4.6004e+21,1,0.000566,0.000566,0,0
4.6002e+21,1,0.000568,0.000568,0,0
4.5999e+21,1,0.00057,0.00057,0,0
4.5997e+21,1,0.000572,0.000572,0,0
4.5994e+21,1,0.000574,0.000574,0,0
4.5992e+21,1,0.000576,0.000576,0,0
4.5989e+21,1,0.000578,0.000578,0,0
4.5987e+21,1,0.00058,0.00058,0,0
4.5984e+21,1,0.000582,0.000582,0,0
4.5982e+21,1,0.000584,0.000584,0,0
4.5979e+21,1,0.000586,0.000586,0,0
4.5977e+21,1,0.000588,0.000588,0,0
4.5974e+21,1,0.00059,0.00059,0,0
4.5972e+21,1,0.000592,0.000592,0,0
4.5969e+21,1,0.000594,0.000594,0,0
4.5967e+21,1,0.000596,0.000596,0,0
4.5964e+21,1,0.000598,0.000598,0,0
4.5962e+21,1,0.0006,0.0006,0,0
4.5959e+21,1,0.000602,0.000602,0,0
4.5957e+21,1,0.000604,0.000604,0,0
4.5954e+21,1,0.000606,0.000606,0,0
4.5952e+21,1,0.000608,0.000608,0,0
4.5949e+21,1,0.00061,0.00061,0,0
4.5947e+21,1,0.000612,0.000612,0,0
4.5945e+21,1,0.000614,0.000614,0,0
4.5942e+21,1,0.000616,0.000616,0,0
4.594e+21,1,0.000618,0.000618,0,0
4.5937e+21,1,0.00062,0.00062,0,0
4.5935e+21,1,0.000622,0.000622,0,0
4.5932e+21,1,0.000624,0.000624,0,0
4.593e+21,1,0.000626,0.000626,0,0
4.5927e+21,1,0.000628,0.000628,0,0
4.5925e+21,1,0.00063,0.00063,0,0
4.5922e+21,1,0.000632,0.000632,0,0
4.592e+21,1,0.000634,0.000634,0,0
4.5918e+21,1,0.000636,0.000636,0,0
4.5915e+21,1,0.000638,0.000638,0,0
4.5913e+21,1,0.00064,0.00064,0,0
4.591e+21,1,0.000642,0.000642,0,0
4.5908e+21,1,0.000644,0.000644,0,0
4.5905e+21,1,0.000646,0.000646,0,0
4.5903e+21,1,0.000648,0.000648,0,0
4.5901e+21,1,0.00065,0.00065,0,0
4.5898e+21,1,0.000652,0.000652,0,0
4.5896e+21,1,0.000654,0.000654,0,0
4.5893e+21,1,0.000656,0.000656,0,0
4.5891e+21,1,0.000658,0.000658,0,0
4.5889e+21,1,0.00066,0.00066,0,0
4.5886e+21,1,0.000662,0.000662,0,0
4.5884e+21,1,0.000664,0.000664,0,0
4.5881e+21,1,0.000666,0.000666,0,0
4.5879e+21,1,0.000668,0.000668,0,0
4.5877e+21,1,0.00067,0.00067,0,0
4.5874e+21,1,0.000672,0.000672,0,0
4.5872e+21,1,0.000674,0.000674,0,0
4.5869e+21,1,0.000676,0.000676,0,0
4.5867e+21,1,0.000678,0.000678,0,0
4.5865e+21,1,0.00068,0.00068,0,0
4.5862e+21,1,0.000682,0.000682,0,0
4.586e+21,1,0.000684,0.000684,0,0
4.5857e+21,1,0.000686,0.000686,0,0
4.5855e+21,1,0.000688,0.000688,0,0
4.5853e+21,1,0.00069,0.00069,0,0
4.585e+21,1,0.000692,0.000692,0,0
4.5848e+21,1,0.000694,0.000694,0,0
4.5846e+21,1,0.000696,0.000696,0,0
4.5843e+21,1,0.000698,0.000698,0,0
4.5841e+21,1,0.0007,0.0007,0,0
4.5839e+21,1,0.000702,0.000702,0,0
4.5836e+21,1,0.000704,0.000704,0,0
4.5834e+21,1,0.000706,0.000706,0,0
4.5831e+21,1,0.000708,0.000708,0,0
4.5829e+21,1,0.00071,0.00071,0,0
4.5827e+21,1,0.000712,0.000712,0,0
4.5824e+21,1,0.000714,0.000714,0,0
4.5822e+21,1,0.000716,0.000716,0,0
4.582e+21,1,0.000718,0.000718,0,0
4.5817e+21,1,0.00072,0.00072,0,0
4.5815e+21,1,0.000722,0.000722,0,0
4.5813e+21,1,0.000724,0.000724,0,0
4.581e+21,1,0.000726,0.000726,0,0
4.5808e+21,1,0.000728,0.000728,0,0
4.5806e+21,1,0.00073,0.00073,0,0
4.5803e+21,1,0.000732,0.000732,0,0
4.5801e+21,1,0.000734,0.000734,0,0
4.5799e+21,1,0.000736,0.000736,0,0
4.5796e+21,1,0.000738,0.000738,0,0
4.5794e+21,1,0.00074,0.00074,0,0
4.5792e+21,1,0.000742,0.000742,0,0
4.579e+21,1,0.000744,0.000744,0,0
4.5787e+21,1,0.000746,0.000746,0,0
4.5785e+21,1,0.000748,0.000748,0,0
4.5783e+21,1,0.00075,0.00075,0,0
4.578e+21,1,0.000752,0.000752,0,0
4.5778e+21,1,0.000754,0.000754,0,0
4.5776e+21,1,0.000756,0.000756,0,0
4.5773e+21,1,0.000758,0.000758,0,0
4.5771e+21,1,0.00076,0.00076,0,0
4.5769e+21,1,0.000762,0.000762,0,0
4.5767e+21,1,0.000764,0.000764,0,0
4.5764e+21,1,0.000766,0.000766,0,0
4.5762e+21,1,0.000768,0.000768,0,0
4.576e+21,1,0.00077,0.00077,0,0
4.5757e+21,1,0.000772,0.000772,0,0
4.5755e+21,1,0.000774,0.000774,0,0
4.5753e+21,1,0.000776,0.000776,0,0
4.5751e+21,1,0.000778,0.000778,0,0
4.5748e+21,1,0.00078,0.00078,0,0
4.5746e+21,1,0.000782,0.000782,0,0
4.5744e+21,1,0.000784,0.000784,0,0
4.5742e+21,1,0.000786,0.000786,0,0
4.5739e+21,1,0.000788,0.000788,0,0
4.5737e+21,1,0.00079,0.00079,0,0
4.5735e+21,1,0.000792,0.000792,0,0
4.5733e+21,1,0.000794,0.000794,0,0
4.573e+21,1,0.000796,0.000796,0,0
4.5728e+21,1,0.000798,0.000798,0,0
4.5726e+21,1,0.0008,0.0008,0,0
4.5724e+21,1,0.000802,0.000802,0,0
4.5721e+21,1,0.000804,0.000804,0,0
4.5719e+21,1,0.000806,0.000806,0,0
4.5717e+21,1,0.000808,0.000808,0,0
4.5715e+21,1,0.00081,0.00081,0,0
4.5712e+21,1,0.000812,0.000812,0,0
4.571e+21,1,0.000814,0.000814,0,0
4.5708e+21,1,0.000816,0.000816,0,0
4.5706e+21,1,0.000818,0.000818,0,0
4.5704e+21,1,0.00082,0.00082,0,0
4.5701e+21,1,0.000822,0.000822,0,0
4.5699e+21,1,0.000824,0.000824,0,0
4.5697e+21,1,0.000826,0.000826,0,0
4.5695e+21,1,0.000828,0.000828,0,0
4.5693e+21,1,0.00083,0.00083,0,0
4.569e+21,1,0.000832,0.000832,0,0
4.5688e+21,1,0.000834,0.000834,0,0
4.5686e+21,1,0.000836,0.000836,0,0
4.5684e+21,1,0.000838,0.000838,0,0
4.5682e+21,1,0.00084,0.00084,0,0
4.5679e+21,1,0.000842,0.000842,0,0
4.5677e+21,1,0.000844,0.000844,0,0
4.5675e+21,1,0.000846,0.000846,0,0
4.5673e+21,1,0.000848,0.000848,0,0
4.5671e+21,1,0.00085,0.00085,0,0
4.5669e+21,1,0.000852,0.000852,0,0
4.5666e+21,1,0.000854,0.000854,0,0
4.5664e+21,1,0.000856,0.000856,0,0
4.5662e+21,1,0.000858,0.000858,0,0
4.566e+21,1,0.00086,0.00086,0,0
4.5658e+21,1,0.000862,0.000862,0,0
4.5656e+21,1,0.000864,0.000864,0,0
4.5653e+21,1,0.000866,0.000866,0,0
4.5651e+21,1,0.000868,0.000868,0,0
4.5649e+21,1,0.00087,0.00087,0,0
4.5647e+21,1,0.000872,0.000872,0,0
4.5645e+21,1,0.000874,0.000874,0,0
4.5643e+21,1,0.000876,0.000876,0,0
4.5641e+21,1,0.000878,0.000878,0,0
4.5638e+21,1,0.00088,0.00088,0,0
4.5636e+21,1,0.000882,0.000882,0,0
4.5634e+21,1,0.000884,0.000884,0,0
4.5632e+21,1,0.000886,0.000886,0,0
4.563e+21,1,0.000888,0.000888,0,0
4.5628e+21,1,0.00089,0.00089,0,0
4.5626e+21,1,0.000892,0.000892,0,0
4.5624e+21,1,0.000894,0.000894,0,0
4.5622e+21,1,0.000896,0.000896,0,0
4.5619e+21,1,0.000898,0.000898,0,0
4.5617e+21,1,0.0009,0.0009,0,0
4.5615e+21,1,0.000902,0.000902,0,0
4.5613e+21,1,0.000904,0.000904,0,0
4.5611e+21,1,0.000906,0.000906,0,0
4.5609e+21,1,0.000908,0.000908,0,0
4.5607e+21,1,0.00091,0.00091,0,0
4.5605e+21,1,0.000912,0.000912,0,0
4.5603e+21,1,0.000914,0.000914,0,0
4.5601e+21,1,0.000916,0.000916,0,0
4.5599e+21,1,0.000918,0.000918,0,0
4.5596e+21,1,0.00092,0.00092,0,0
4.5594e+21,1,0.000922,0.000922,0,0
4.5592e+21,1,0.000924,0.000924,0,0
4.559e+21,1,0.000926,0.000926,0,0
4.5588e+21,1,0.000928,0.000928,0,0
4.5586e+21,1,0.00093,0.00093,0,0
4.5584e+21,1,0.000932,0.000932,0,0
4.5582e+21,1,0.000934,0.000934,0,0
4.558e+21,1,0.000936,0.000936,0,0
4.5578e+21,1,0.000938,0.000938,0,0
4.5576e+21,1,0.00094,0.00094,0,0
4.5574e+21,1,0.000942,0.000942,0,0
4.5572e+21,1,0.000944,0.000944,0,0
4.557e+21,1,0.000946,0.000946,0,0
4.5568e+21,1,0.000948,0.000948,0,0
4.5566e+21,1,0.00095,0.00095,0,0
4.5564e+21,1,0.000952,0.000952,0,0
4.5562e+21,1,0.000954,0.000954,0,0
4.556e+21,1,0.000956,0.000956,0,0
4.5558e+21,1,0.000958,0.000958,0,0
4.5556e+21,1,0.00096,0.00096,0,0
4.5554e+21,1,0.000962,0.000962,0,0
4.5552e+21,1,0.000964,0.000964,0,0
4.555e+21,1,0.000966,0.000966,0,0
4.5548e+21,1,0.000968,0.000968,0,0
4.5546e+21,1,0.00097,0.00097,0,0
4.5544e+21,1,0.000972,0.000972,0,0
4.5542e+21,1,0.000974,0.000974,0,0
4.554e+21,1,0.000976,0.000976,0,0
4.5538e+21,1,0.000978,0.000978,0,0
4.5536e+21,1,0.00098,0.00098,0,0
4.5534e+21,1,0.000982,0.000982,0,0
4.5532e+21,1,0.000984,0.000984,0,0
4.553e+21,1,0.000986,0.000986,0,0
4.5528e+21,1,0.000988,0.000988,0,0
4.5526e+21,1,0.00099,0.00099,0,0
4.5524e+21,1,0.000992,0.000992,0,0
4.5522e+21,1,0.000994,0.000994,0,0
4.552e+21,1,0.000996,0.000996,0,0
4.5518e+21,1,0.000998,0.000998,0,0
4.5516e+21,1,0.001,0.001,0,0
